,name,mean_iou,mean_acc,dice,hd
40,125-RI1.JPG,0.992997501,0.985752167,0.991273403,3
58,087-RS1.JPG,0.992207218,0.981336629,0.994014025,6.708203793
89,059-LI2.JPG,0.992074763,0.980221553,0.982572258,7
76,038-RN.JPG,0.991740789,0.981344517,0.994208813,7.07106781
42,081-RS2.JPG,0.991575863,0.981868958,0.993256629,12.52996445
88,121-RN2.JPG,0.991424447,0.980859554,0.993240178,8.062257767
1,061-LS5.JPG,0.991268182,0.97628403,0.995266974,1
44,041-RS.JPG,0.990975317,0.98241265,0.991396546,10.29563046
24,091-LT.JPG,0.990853546,0.980138911,0.99496913,2.23606801
53,101-RI4.JPG,0.990557596,0.981995065,0.99143225,4
80,120-RS.JPG,0.990352907,0.980108147,0.986694872,2.23606801
64,041-LI.JPG,0.990051244,0.980176641,0.986953199,6
71,092-RS.JPG,0.990007339,0.979516403,0.987128556,7.810249805
23,084-LS.JPG,0.989850754,0.980116605,0.990816593,9.219544411
11,056-RI1.JPG,0.989653052,0.980216396,0.990113795,1.414213538
14,032-RS.JPG,0.989173801,0.978780216,0.986397743,6
67,111-RN1.JPG,0.989066117,0.977788051,0.987109661,1
79,127-RT1.JPG,0.98882614,0.977179253,0.990825176,8.544003487
12,110-LN.JPG,0.988722975,0.976042304,0.990554154,5.385164738
35,006-RN.JPG,0.988386054,0.977125682,0.986600518,4.123105526
48,113-RI.JPG,0.988378931,0.968615669,0.990917325,2.828427076
82,017-RT.JPG,0.98831892,0.975972134,0.982712328,0
65,061-LS3.JPG,0.988194212,0.9778608,0.987236202,16.03121948
90,028-RT.JPG,0.988058087,0.975153049,0.983679116,5.830951691
0,066-RT.JPG,0.988037597,0.978403539,0.991470516,0
83,061-LI1.JPG,0.987845949,0.976612439,0.986822188,18.86796188
86,101-RI3.JPG,0.987806369,0.975049824,0.982859373,9.899495125
32,044-RS3.JPG,0.987720438,0.979181869,0.988361061,3
54,117-LN.JPG,0.987071436,0.975636929,0.988673925,8
3,011-LT.JPG,0.986745633,0.972357211,0.991593301,3.162277699
93,065-RI2.JPG,0.986517391,0.976047159,0.987987339,2.23606801
49,130-RI5.JPG,0.98639893,0.972712326,0.984823465,1.414213538
19,098-LN3.JPG,0.986371899,0.973729239,0.989732206,1
22,080-RS.JPG,0.986274747,0.971025158,0.982016563,1
77,070-LT.JPG,0.986165017,0.974952488,0.985652566,1
75,133-RS1.JPG,0.986143505,0.967112777,0.977664709,1.414213538
70,071-LN.JPG,0.986039824,0.974466857,0.987576246,0
56,119-RI.JPG,0.985948194,0.975814987,0.985424399,1
50,056-LT2.JPG,0.985918008,0.972879193,0.987801075,1
17,112-RI1.JPG,0.985863066,0.973556325,0.985856175,8.544003487
38,074-LN.JPG,0.985339474,0.971165811,0.98221153,7.211102486
68,059-RN2.JPG,0.985074249,0.97003154,0.982522309,9.219544411
74,027-RT4.JPG,0.984959807,0.972608363,0.989907205,1
60,037-RN.JPG,0.984869746,0.969489491,0.981488645,13.45362377
27,032-RI2.JPG,0.98472346,0.974687744,0.988870561,5.099019527
4,112-RI8.JPG,0.984476702,0.970203448,0.986341536,1
84,059-RT.JPG,0.984474014,0.976722609,0.990112364,1
63,128-LT.JPG,0.984310062,0.963843279,0.987569451,3.605551243
13,098-RN3.JPG,0.984054644,0.967494124,0.989492238,3.605551243
8,126-RS.JPG,0.983424546,0.967453237,0.982381403,7.615773201
34,052-RT.JPG,0.983181622,0.966582421,0.986726224,8.246211052
51,120-RT2.JPG,0.983080888,0.967181537,0.979480922,5.099019527
46,044-RS2.JPG,0.982092575,0.968615288,0.98001802,7.280109882
66,095-RN.JPG,0.981960245,0.962430542,0.983916879,4.472136021
6,110-LI.JPG,0.981664512,0.965193021,0.984190524,2.828427076
31,124-RN.JPG,0.981615145,0.956964543,0.969140887,8.062257767
16,116-RI.JPG,0.981495548,0.971554348,0.985614955,6.082762718
92,014-R1I.JPG,0.981063138,0.968282502,0.985830605,11.31370831
21,094-RI2.JPG,0.980741786,0.966164558,0.986005306,2
5,006-LI.JPG,0.979961114,0.95786765,0.983893514,1
47,096-LN.JPG,0.979826908,0.962580261,0.979665101,0
7,078-RT.JPG,0.979774082,0.957908232,0.986213803,0
43,107-RT.JPG,0.979408794,0.962752169,0.980220556,7.280109882
20,085-RS4.JPG,0.978805873,0.953817155,0.96884048,1
15,056-RT1.JPG,0.978740596,0.956927152,0.981229365,2
26,018-LT.JPG,0.978302787,0.956721589,0.980701566,6.324555397
85,006-RS1.JPG,0.977470683,0.962482074,0.979516625,1.414213538
2,061-RT3.JPG,0.977146435,0.96061655,0.983530998,4.123105526
78,096-LS.JPG,0.977075087,0.96131982,0.981794238,5.385164738
9,101-RS3.JPG,0.976688833,0.944622956,0.96049118,10.77032948
57,055-LS1.JPG,0.976207046,0.95348038,0.978152394,2.23606801
18,067-LN.JPG,0.97617191,0.955351428,0.972496629,6
30,099-RN1.JPG,0.975962373,0.953409621,0.979789078,1
62,120-RI2.JPG,0.975817375,0.953768625,0.97843051,3
87,082-RN.JPG,0.974703791,0.949609683,0.979229331,3.162277699
10,027-RI2.JPG,0.97391386,0.955162071,0.976559043,7.280109882
61,114-RT(2).JPG,0.973203761,0.948722324,0.979944408,4.472136021
81,020-RI.JPG,0.973109336,0.941638691,0.977381349,2
73,070-RT.JPG,0.972093116,0.941394579,0.962312162,1
45,045-RS.JPG,0.971348286,0.955406163,0.979671657,7.280109882
37,098-LI3.JPG,0.971215497,0.959255341,0.974089861,2
41,068-LN.JPG,0.969372479,0.94368454,0.976004004,1
28,070-LI1.JPG,0.969097567,0.939189022,0.970995069,74.73285675
29,089-RI.JPG,0.968480038,0.948509769,0.970778763,7
91,058-RN.JPG,0.967524968,0.936974789,0.971896589,5.099019527
55,097-LN.JPG,0.967254033,0.936701409,0.965097308,5
52,116-LI1.JPG,0.963339037,0.915206901,0.927928627,None
69,057-RI2.JPG,0.961544716,0.926113195,0.966243625,1
33,117-RT.JPG,0.960637585,0.918540988,0.952929854,5
39,111-LN.JPG,0.958299682,0.935385816,0.965818942,7
59,061-RI1.JPG,0.957883494,0.914525068,0.980441451,4
25,089-RT.JPG,0.952932957,0.913875591,0.95572418,5.385164738
36,073-RN.JPG,0.946210692,0.910571601,0.948675513,2.23606801
72,061-RN5.JPG,0.915085584,0.820612163,0.888359368,4.123105526
,,0.980497833,0.962210399,0.980644184,
